index,s1,s2,s3,s4,s5
163,76,73,77,73,74
164,73,75,70,70,78
165,72,71,76,71,71
166,72,70,76,74,70
167,70,75,71,71,73
168,72,78,71,74,75
169,71,71,72,70,78
170,70,78,70,75,71
171,76,76,74,75,78
172,72,78,74,74,75
173,76,71,76,71,74
174,70,75,77,73,78
175,77,71,75,72,74
176,73,78,75,72,77
177,75,77,72,74,78
178,71,70,75,73,74
179,71,73,74,72,74
180,73,74,73,76,70
181,71,70,75,70,74
182,74,77,74,75,77
183,76,73,78,72,76
184,70,75,77,78,74
185,72,77,70,73,73
186,76,78,74,77,70
187,76,75,76,71,70
188,78,77,74,75,74
189,70,75,75,74,74
190,71,71,78,71,73
191,70,77,70,77,72
192,75,76,71,75,74
193,76,71,71,76,78
194,76,70,76,72,78
195,78,70,75,76,73
196,78,72,70,70,75
197,74,78,76,70,75
198,71,72,73,73,70
199,76,71,70,70,74
200,74,77,73,76,72
201,71,71,72,72,78
202,73,75,76,75,71
203,72,73,77,75,70
204,72,71,75,72,74
205,75,73,71,78,70
206,78,72,71,72,70
207,77,72,77,78,71
208,71,71,74,72,75
209,76,70,75,73,70
210,74,71,73,71,73
211,72,72,70,76,77
212,72,72,75,78,72
213,74,78,77,74,71
214,72,72,74,77,71
215,77,77,73,75,70
216,73,74,77,71,73
217,71,76,71,71,73
218,72,71,70,76,74
219,76,75,74,71,72
220,71,76,72,78,70
221,71,76,74,78,72
222,70,78,72,73,78
223,78,78,70,72,72
224,77,74,76,71,77
225,74,77,77,71,73
226,78,71,75,78,78
227,78,75,78,77,73
228,70,72,73,71,71
229,78,70,78,77,71
230,71,70,77,70,70
231,70,73,75,75,77
232,70,73,72,73,78
233,75,74,76,70,77
234,70,75,78,74,71
235,74,77,75,72,75
236,71,75,70,72,75
237,73,73,78,70,78
238,70,73,75,75,75
239,73,76,70,71,73
240,75,75,73,74,77
241,72,72,78,73,74
242,74,72,72,71,70
243,74,74,78,77,73
244,77,76,76,77,70
245,71,76,70,71,71
246,78,73,73,75,72
247,75,76,71,75,71
248,76,78,72,77,73
249,74,70,70,72,77
250,76,77,74,72,78
251,76,75,72,73,74
252,73,74,74,71,78
253,73,72,74,75,71
254,75,74,75,75,75
255,71,71,72,76,75
256,70,74,78,74,73
257,74,72,76,76,73
258,72,70,71,72,70
259,72,78,74,77,76
260,71,71,77,74,71
261,72,78,78,77,78
262,77,70,77,72,71
263,78,72,73,72,78
264,72,71,72,73,78
265,72,71,73,75,71
266,75,70,76,73,70
267,77,73,74,73,77
268,72,78,76,71,73
269,72,74,71,76,76
270,76,74,71,75,76
271,76,78,75,76,70
272,74,71,73,75,76
273,76,74,78,70,78
274,75,78,74,78,78
275,72,70,75,77,78
276,73,73,77,74,75
277,74,78,70,76,71
278,78,70,74,71,76
279,70,73,72,78,70
280,76,77,78,70,77
281,78,76,73,75,70
282,72,78,72,73,70
283,77,72,73,78,77
284,71,76,74,74,76
285,75,77,75,76,75
286,72,75,75,77,70
287,70,71,73,78,75
288,75,73,74,75,78
289,72,76,75,76,73
290,71,78,78,78,71
291,74,77,73,78,75
292,78,72,78,75,73
293,76,76,71,77,72
294,76,76,73,73,75
295,70,77,71,73,76
296,78,73,74,71,71
297,77,74,74,76,71
298,71,76,75,71,74
299,76,71,76,72,78
300,77,76,72,72,74
301,74,74,75,73,75
302,77,71,71,72,75
303,72,73,70,74,75
304,74,71,71,71,78
305,72,70,77,76,78
306,77,72,72,71,72
307,78,77,74,76,75
308,77,78,73,71,77
309,74,78,75,78,77
310,73,78,70,76,74
311,77,71,78,72,78
312,73,72,77,74,77
313,77,77,71,72,75
314,76,71,76,71,70
315,78,74,71,75,75
316,77,77,78,78,77
317,73,74,78,77,72
318,78,75,76,71,78
319,75,72,78,75,71
320,72,71,70,73,73
321,74,77,78,71,74
322,74,75,74,72,74
323,73,71,70,71,77
324,77,71,76,71,71
325,71,74,72,78,73
326,72,77,78,70,73
327,78,73,72,74,70
328,72,78,73,73,75
329,77,74,73,78,74
330,76,76,75,76,74
331,73,70,76,76,75
332,78,71,70,70,74
333,75,72,76,72,73
334,74,70,75,78,77
335,72,77,70,72,75
336,78,73,72,73,77
337,76,78,73,75,72
338,73,75,76,76,75
339,77,73,75,78,77
340,77,75,70,72,73
341,75,78,70,78,75
342,76,72,75,74,76
343,77,75,72,74,75
344,75,71,73,71,73
345,77,72,75,73,75
346,73,75,76,78,71
347,78,76,76,72,73
348,70,77,70,71,77
349,72,71,75,74,71
350,77,74,72,72,71
351,76,70,73,73,74
352,74,75,75,73,78
353,73,78,74,77,78
354,74,77,78,72,74
355,77,74,71,75,75
356,71,77,78,73,72
357,74,74,75,70,71
358,71,75,74,74,73
359,77,77,75,77,73
360,78,74,73,76,72
361,70,75,72,70,73
362,78,73,70,76,78
363,72,72,72,75,71
364,75,70,75,74,76
365,76,72,70,73,77
366,76,72,73,74,72
367,73,74,77,78,74
368,70,75,73,78,75
369,74,71,78,73,78
370,71,76,72,73,72
371,75,75,77,72,76
372,74,72,73,72,77
373,75,72,75,70,78
374,74,73,75,76,76
375,72,78,76,70,73
376,72,73,72,74,75
377,74,75,72,75,72
378,75,71,76,78,75
379,70,70,78,76,70
380,72,76,76,75,70
381,73,71,73,74,72
382,77,73,78,74,78
383,77,71,74,76,74
384,77,74,76,73,75
385,75,77,76,77,70
386,78,74,77,78,72
387,75,72,76,77,71
388,71,77,77,76,76
389,72,72,77,77,75
390,74,74,76,78,77
391,74,70,78,77,72
392,71,72,70,72,78
393,73,72,73,77,71
394,77,73,70,73,77
395,70,76,71,78,76
396,77,73,70,75,72
397,77,74,73,77,75
398,77,70,70,76,75
399,71,75,78,77,71
400,74,73,74,71,76
401,71,74,75,76,73
402,71,78,76,77,73
403,77,75,74,76,73
404,76,78,72,71,72
405,78,76,75,71,78
406,72,75,75,75,73
407,70,73,75,70,70
408,78,72,71,72,72
409,71,70,78,74,73
410,78,70,76,74,75
411,75,78,70,78,71
412,76,72,72,70,71
413,72,74,72,74,78
414,77,76,78,73,74
415,78,73,70,73,71
416,72,75,71,78,78
417,72,74,71,74,75
418,78,78,70,70,74
419,76,72,74,78,71
420,77,76,71,73,71
421,77,71,76,72,73
422,75,77,77,73,70
423,75,73,75,70,76
424,74,73,77,70,78
425,75,77,72,78,70
426,71,71,78,72,71
427,78,70,78,74,75
428,75,77,72,74,70
429,76,73,76,77,75
430,71,75,76,75,70
431,71,70,71,71,70
432,77,78,73,73,73
433,75,74,75,76,73
434,74,74,70,75,77
435,70,71,75,71,73
436,76,73,78,77,73
437,70,77,73,70,75
438,76,70,75,74,77
439,78,73,75,71,77
440,72,75,77,71,77
441,78,77,76,70,76
442,71,75,77,78,73
443,72,70,77,72,71
444,77,75,76,70,76
445,75,72,75,70,75
446,75,76,74,76,70
447,71,78,73,77,70
448,75,70,76,70,71
449,73,73,77,73,71
450,71,71,77,78,77
451,72,76,70,78,73
452,76,77,72,75,75
453,70,74,70,77,70
454,76,75,75,72,76
455,71,70,77,75,73
456,75,70,77,73,72
457,78,77,72,73,71
458,73,78,71,78,74
459,74,70,75,70,76
460,76,74,70,73,70
461,75,76,70,71,76
462,72,77,78,78,74
463,78,74,72,78,77
464,72,78,71,77,77
465,73,75,73,73,74
466,71,77,70,73,74
467,76,75,76,70,78
468,76,73,73,77,72
469,76,71,76,71,76
470,78,72,74,71,73
471,77,70,73,78,75
472,71,70,70,71,76
473,75,74,70,71,77
474,78,70,70,74,73
475,73,74,74,70,76
476,72,72,77,77,75
477,78,77,78,78,78
478,76,73,76,72,70
479,75,75,70,72,71
480,70,76,70,71,78
481,76,75,72,74,78
482,72,75,73,76,70
483,72,73,77,72,75
484,71,77,78,71,73
485,74,70,75,76,76
486,70,74,72,77,76
487,70,74,77,74,76
488,76,73,70,73,77
489,73,73,72,71,70
490,73,71,77,71,75
491,76,75,74,78,71
492,70,77,76,76,74
493,71,72,75,71,73
494,71,71,75,76,72
495,75,72,77,77,77
496,71,77,77,75,76
497,75,74,72,76,78
498,76,71,75,75,74
499,76,71,70,76,70
500,77,77,74,76,70
501,78,76,77,76,70
502,77,70,78,77,73
503,78,76,70,70,76
504,77,78,78,78,70
505,72,72,74,75,71
506,71,75,73,76,76
507,77,76,77,70,76
508,75,70,77,77,74
509,78,70,75,71,74
510,75,77,74,73,77
511,77,78,76,70,78
512,73,72,78,78,70
513,73,75,77,76,75
514,71,75,70,74,75
515,76,73,73,78,78
516,76,70,75,70,76
517,70,75,72,74,70
518,72,78,72,75,75
519,74,74,77,76,74
520,74,77,70,75,73
521,76,73,74,78,74
522,73,75,75,74,75
523,72,76,72,74,70
524,72,75,70,77,70
525,76,71,78,73,73
526,70,70,73,72,76
527,70,71,71,72,77
528,76,74,74,74,76
529,71,73,77,72,76
530,77,73,71,73,73
531,73,70,76,71,76
532,70,77,70,72,74
533,78,72,73,70,73
534,71,73,71,70,75
535,77,70,78,70,71
536,73,77,72,77,71
537,76,75,78,71,75
538,74,71,73,77,73
539,70,70,71,72,77
540,74,75,70,74,74
541,73,73,77,78,73
542,77,74,76,70,74
543,72,72,74,78,75
544,72,76,72,75,75
545,75,72,75,73,78
546,74,76,77,76,73
547,77,72,70,70,70
548,73,75,72,73,75
549,78,73,75,74,76
550,70,73,70,70,76
551,70,76,76,70,76
552,70,74,72,76,72
553,73,72,74,75,77
554,70,77,70,78,74
555,71,73,74,72,76
556,71,71,70,70,70
557,71,78,78,72,78
558,71,78,73,76,75
559,77,76,73,72,74
560,74,74,73,73,77
561,70,78,77,75,73
562,73,74,72,77,72
563,74,74,71,78,77
564,75,77,77,73,78
565,75,75,77,78,78
566,73,72,72,74,71
567,70,76,74,74,72
568,75,70,71,75,73
569,75,72,73,73,70
570,73,76,78,77,74
571,74,72,75,70,70
572,76,76,76,71,76
573,77,72,75,71,76
574,75,70,74,78,78
575,75,77,75,70,76
576,76,75,72,77,74
577,76,76,70,71,73
578,70,73,70,73,73
579,73,70,78,71,71
580,77,71,77,74,74
581,71,75,71,71,72
582,75,73,72,70,74
583,71,77,72,74,71
584,73,73,77,71,76
585,75,75,71,73,76
586,74,78,70,75,73
587,77,78,77,74,70
588,76,78,73,73,78
589,78,78,75,73,78
590,75,73,75,76,76
591,74,78,77,72,71
592,75,77,75,71,73
593,77,72,70,76,73
594,76,78,76,74,71
595,74,76,74,73,74
596,72,77,77,78,72
597,76,77,72,71,73
598,74,76,70,75,78
599,71,72,71,74,77
600,78,73,72,74,71
601,73,77,71,78,71
602,77,74,74,71,72
603,75,78,77,71,77
604,78,78,77,76,77
605,77,78,73,76,70
606,75,72,75,73,73
607,72,77,76,77,77
608,74,75,74,73,71
609,73,74,78,70,70
610,75,76,72,72,76
611,72,77,78,70,74
612,71,71,72,73,73
613,70,73,74,77,73
614,75,70,78,74,74
615,78,73,78,71,71
616,75,78,78,75,74
617,70,78,70,78,74
618,70,73,70,76,76
619,75,72,71,77,75
620,77,76,72,78,71
621,77,72,77,73,74
622,71,78,70,76,73
623,78,71,72,77,74
624,73,72,70,73,75
625,77,70,73,76,76
626,75,76,71,76,71
627,70,75,73,74,72
628,72,70,72,75,73
629,73,72,71,71,73
630,78,75,75,72,71
631,75,72,70,73,70
632,76,70,73,71,71
633,75,74,77,75,73
634,73,72,71,72,73
635,74,76,73,75,77
636,76,72,73,74,76
637,76,71,76,75,72
638,76,77,72,72,77
639,70,70,77,71,73
640,77,74,70,77,74
641,76,78,76,73,72
642,70,71,72,70,76
643,70,78,78,73,72
644,76,71,71,72,70
645,70,78,75,70,73
646,78,77,70,70,71
647,70,76,72,72,70
648,73,78,72,77,70
649,78,70,74,76,72
650,76,73,78,73,76
651,74,71,76,72,73
652,74,73,76,74,75
653,70,78,78,70,72
654,78,75,77,71,71
655,77,73,72,76,78
656,72,74,70,77,76
657,78,76,76,70,78
658,78,75,70,71,78
659,70,71,76,72,70
660,71,77,77,72,71
661,76,77,71,78,78
662,73,71,71,70,75
663,77,73,72,75,76
664,73,71,76,76,76
665,72,74,75,71,76
666,70,77,72,73,76
667,78,74,74,70,74
668,77,73,74,78,73
669,72,74,78,75,71
670,77,75,70,72,78
671,72,78,78,70,70
672,77,78,70,77,78
673,77,76,74,78,78
674,71,76,77,73,70
675,73,78,76,70,75
676,77,70,72,76,77
677,77,74,72,78,70
678,77,77,77,76,71
679,70,78,74,77,76
680,75,73,78,71,70
681,76,78,70,73,76
682,71,71,78,71,73
683,78,77,73,78,77
684,70,71,70,75,74
685,73,72,71,71,77
686,72,75,75,76,78
687,76,77,75,77,70
688,76,75,74,70,73
689,75,77,75,74,76
690,75,75,74,76,75
691,71,75,71,77,77
692,78,73,74,78,74
693,71,72,77,72,73
694,75,76,73,74,78
695,70,78,76,75,71
696,75,75,75,71,73
697,71,77,70,76,78
698,74,78,78,71,71
699,74,77,74,74,74
700,77,77,73,72,72
701,77,78,78,70,77
702,70,74,78,72,76
703,78,78,75,78,76
704,72,73,76,73,77
705,72,78,77,78,76
706,73,71,77,70,75
707,71,72,75,70,78
708,70,75,75,70,75
709,70,74,71,72,71
710,71,77,72,70,75
711,76,78,77,74,75
712,70,71,74,75,75
713,75,74,72,75,77
714,75,74,71,78,70
715,76,74,73,70,72
716,72,75,76,70,73
717,76,71,76,75,74
718,73,72,76,74,72
719,76,72,71,76,74
720,74,78,75,73,70
721,71,74,75,72,72
722,75,71,77,77,77
723,75,73,74,74,73
724,76,73,77,75,76
725,76,73,72,76,73
726,78,73,73,78,76
727,73,78,77,78,74
728,73,75,77,71,73
729,77,78,76,71,78
730,70,73,75,70,78
731,73,74,75,73,76
732,73,77,75,78,77
733,75,74,71,72,76
734,76,71,76,76,76
735,73,74,71,72,76
736,77,78,71,78,72
737,77,78,75,73,76
738,78,76,73,78,72
739,72,77,78,71,76
740,74,77,77,78,71
741,77,77,75,74,74
742,76,78,73,76,77
743,76,75,72,77,72
744,74,75,74,70,76
745,78,71,77,77,73
746,77,72,75,76,72
747,75,74,78,74,72
748,75,76,73,74,76
749,76,76,75,76,78
750,73,75,72,75,71
751,70,78,72,76,73
752,73,78,77,77,76
753,71,76,75,77,73
754,73,77,70,77,72
755,74,76,75,74,76
756,76,74,75,71,74
757,76,75,74,75,75
758,77,70,78,76,77
759,76,72,73,72,73
760,73,75,76,72,76
761,78,70,73,78,71
762,74,78,71,72,72
763,71,72,76,72,75
764,76,77,78,70,77
765,77,71,71,74,71
766,78,75,78,76,78
767,72,71,70,78,78
768,78,74,77,72,71
769,72,78,70,72,72
770,72,75,78,74,72
771,70,73,75,71,71
772,75,70,76,75,76
773,75,71,73,70,78
774,73,75,71,73,78
775,74,76,72,71,74
776,76,77,76,73,77
777,75,72,75,78,74
778,76,75,71,76,76
779,74,70,75,72,77
780,78,78,71,75,76
781,70,77,76,72,76
782,72,76,78,72,77
783,70,75,75,70,76
784,75,74,77,70,74
785,71,76,72,73,72
786,75,74,77,71,73
787,72,72,70,78,77
788,73,75,75,72,76
789,78,70,70,78,73
790,72,74,70,70,76
791,74,77,73,75,73
792,71,76,72,70,74
793,76,75,70,77,71
794,78,73,78,70,75
795,70,76,77,71,76
796,71,75,77,72,71
797,77,78,78,78,72
798,75,73,78,70,78
799,74,77,71,76,71
800,74,78,73,70,71
801,76,76,78,75,78
802,76,73,71,72,77
803,78,77,71,76,76
804,72,78,71,77,70
805,78,74,71,77,70
806,77,74,74,75,72
807,75,74,77,72,75
808,71,75,77,70,73
809,71,71,71,74,77
810,73,73,74,77,73
811,72,73,70,73,78
812,72,78,73,75,71
813,70,72,72,77,72
814,77,76,70,72,78
815,71,72,76,76,78
816,73,71,78,70,72
817,73,76,71,74,72
818,74,76,73,77,72
819,72,72,75,73,75
820,77,72,74,78,71
821,71,70,77,71,75
822,72,72,78,78,73
823,71,73,73,77,76
824,73,78,73,71,73
825,74,72,70,72,71
826,78,78,72,75,77
827,78,78,74,74,77
828,78,76,74,74,73
829,70,75,70,73,77
830,71,78,78,70,77
831,71,78,73,75,71
832,73,75,74,76,77
833,76,73,76,76,78
834,75,77,70,76,71
835,73,76,76,78,73
836,77,71,72,77,72
837,70,72,74,76,74
838,73,72,72,72,72
839,78,72,70,70,73
840,70,72,76,72,75
841,74,76,71,77,75
842,78,76,71,78,72
843,71,74,74,76,77
844,74,72,70,73,78
845,78,74,70,75,71
846,77,72,72,71,77
847,74,70,77,73,78
848,71,73,70,75,76
849,75,73,76,75,73
850,72,77,73,71,71
851,77,70,72,78,74
852,77,78,72,71,76
853,73,78,76,74,71
854,77,71,78,76,75
855,76,74,74,77,78
856,70,76,73,75,76
857,76,77,72,74,71
858,70,72,78,74,78
859,73,76,75,72,71
860,72,77,78,72,74
861,71,72,73,72,72
862,70,74,78,74,76
863,77,73,73,70,78
864,74,77,72,77,70
865,75,78,71,74,72
866,77,76,72,75,70
867,73,72,72,74,76
868,71,70,70,74,72
869,71,70,74,73,71
870,76,77,72,73,70
871,70,78,71,71,73
872,72,77,78,74,70
873,70,75,78,74,73
874,71,72,74,75,78
875,78,76,76,73,76
876,75,74,78,73,71
877,70,72,77,76,71
878,75,76,72,78,77
879,75,74,77,78,78
880,76,72,78,74,75
881,73,76,77,75,70
882,76,78,74,75,76
883,73,77,76,72,78
884,70,71,77,72,77
885,73,71,77,77,70
886,74,72,77,72,74
887,70,76,76,75,78
888,73,76,71,73,72
889,73,73,73,75,77
890,77,71,72,78,70
891,75,70,77,75,70
892,71,70,76,78,72
893,71,70,74,74,74
894,72,70,78,74,78
895,74,75,75,72,78
896,70,74,72,77,70
897,77,70,74,71,73
898,78,76,71,73,76
899,76,76,74,74,75
900,71,77,71,76,70
901,75,72,75,72,77
902,76,75,74,74,75
903,71,77,75,77,76
904,70,78,75,76,75
905,78,77,76,72,70
906,75,76,75,74,71
907,75,71,78,77,73
908,78,70,74,74,76
909,72,77,70,76,71
910,73,70,76,74,74
911,77,77,76,75,77
912,75,75,78,76,73
913,71,78,76,74,77
914,75,77,77,72,77
915,78,76,71,77,76
916,70,73,76,73,73
917,77,77,75,71,70
918,78,77,77,71,75
919,75,72,75,72,70
920,78,77,70,70,75
921,78,71,77,74,76
922,74,76,70,72,76
923,77,72,72,77,77
924,73,71,77,72,72
925,71,75,77,72,71
926,75,73,78,78,78
927,74,70,75,75,78
928,75,75,76,71,75
929,75,76,71,71,74
930,74,71,72,77,76
931,73,70,78,74,77
932,74,77,76,74,78
933,75,74,72,70,72
934,78,71,78,74,77
935,71,77,71,75,76
936,72,73,76,70,76
937,76,77,76,75,70
938,74,71,72,75,74
939,78,78,74,70,77
940,71,75,71,78,72
941,75,72,78,72,71
942,75,74,71,75,75
943,72,78,78,77,71
944,76,75,71,73,77
945,76,72,70,78,73
946,71,71,76,73,73
947,73,72,76,73,74
948,73,73,70,73,73
949,77,72,71,78,74
950,78,73,78,78,75
951,75,76,78,78,75
952,78,71,74,71,71
953,71,75,74,72,74
954,74,74,78,71,74
955,72,75,70,77,71
956,76,70,71,71,77
957,76,72,72,72,70
958,71,77,72,78,75
959,71,70,76,75,72
960,70,71,78,74,75
961,76,77,76,74,72
962,75,78,71,73,77
963,77,75,72,77,73
964,71,74,72,77,71
965,72,73,76,71,76
966,76,71,75,72,72
967,73,76,75,76,72
968,71,75,77,78,70
969,74,73,74,70,71
970,76,73,71,70,77
971,76,71,76,77,78
972,70,72,76,75,73
973,75,75,77,71,75
974,76,71,74,73,74
975,72,71,71,78,71
976,74,71,71,78,78
977,71,72,78,76,74
978,77,78,76,73,73
979,77,76,76,77,70
980,71,75,77,78,70
981,70,70,72,70,72
982,78,75,71,73,78
983,73,77,75,77,73
984,73,78,71,75,71
985,76,71,73,70,78
986,71,73,75,74,77
987,74,71,78,71,77
988,73,70,76,74,78
989,73,70,77,75,74
990,70,71,76,74,71
991,72,73,77,78,70
992,70,75,77,76,70
993,77,77,76,78,70
994,71,73,71,71,70
995,78,71,74,70,74
996,73,72,72,78,72
997,78,70,73,74,74
998,76,74,73,70,75
999,74,77,72,70,76
0,68,67,68,64,61
1,65,60,66,60,66
2,63,66,68,64,64
3,64,68,66,65,65
4,65,62,63,65,67
5,62,60,67,65,65
6,66,68,61,62,65
7,61,61,62,67,65
8,66,66,61,68,67
9,66,65,60,62,65
10,61,64,61,63,66
11,62,60,64,62,65
12,62,60,66,67,62
13,63,68,67,65,68
14,64,63,63,65,64
15,61,68,63,62,67
16,62,62,65,61,63
17,63,62,61,64,64
18,67,60,65,65,67
19,64,68,66,65,60
20,67,67,64,66,61
21,68,61,67,68,62
22,63,62,68,67,67
23,68,66,67,67,65
24,63,61,68,64,63
25,66,65,61,61,67
26,62,62,65,63,61
27,67,64,66,68,63
28,67,64,64,62,67
29,62,60,67,60,68
30,67,62,64,66,63
31,68,63,68,61,66
32,63,63,66,62,63
33,64,67,62,63,67
34,63,62,67,62,67
35,61,67,66,60,62
36,63,63,60,63,66
37,65,62,62,66,62
38,63,60,64,60,60
39,63,66,65,66,66
40,61,62,62,64,66
41,64,65,66,62,60
42,67,62,61,68,64
43,61,64,66,60,65
44,66,62,61,63,66
45,67,62,68,62,68
46,66,66,62,67,67
47,63,67,62,66,64
48,62,68,68,63,64
49,60,64,63,68,63
50,67,61,65,65,65
51,66,64,62,67,61
52,60,60,61,61,62
53,67,68,62,68,65
54,60,62,60,68,68
55,67,66,68,60,61
56,68,66,64,66,63
57,65,67,61,66,67
58,65,64,61,65,61
59,66,63,62,68,66
60,66,62,66,66,68
61,61,67,60,60,60
62,68,67,67,63,66
63,66,61,65,66,67
64,67,63,61,65,65
65,67,60,66,63,68
66,67,68,64,61,60
67,68,63,65,68,68
68,63,65,66,62,64
69,66,67,68,64,61
70,62,66,64,68,63
71,60,60,67,62,61
72,63,63,61,61,67
73,67,63,66,64,62
74,63,63,61,66,66
75,65,62,61,66,63
76,63,61,68,60,65
77,61,67,64,62,65
78,62,62,64,68,61
79,62,60,65,68,65
80,62,61,63,60,67
81,65,60,63,68,61
82,68,68,63,60,68
83,61,64,66,61,63
84,60,67,67,60,68
85,66,62,67,68,61
86,68,61,68,65,66
87,61,63,67,67,61
88,61,61,60,65,68
89,66,66,60,66,60
90,64,61,61,60,60
91,61,66,60,68,68
92,61,67,62,65,64
93,64,67,65,65,66
94,61,64,63,66,62
95,66,64,60,66,66
96,61,63,64,60,65
97,68,60,65,67,67
98,60,62,67,65,61
99,63,68,66,66,66
100,67,67,64,68,63
101,63,65,66,66,66
102,66,62,63,62,61
103,66,60,60,62,66
104,67,63,62,60,61
105,63,60,67,67,68
106,61,60,68,62,61
107,61,61,62,63,67
108,63,61,60,63,67
109,64,66,68,62,60
110,63,61,68,65,67
111,62,65,62,63,62
112,65,64,60,64,61
113,60,66,64,63,66
114,67,66,68,60,63
115,60,65,67,67,65
116,63,63,67,67,64
117,67,60,60,64,65
118,64,60,63,61,63
119,63,65,64,64,68
120,67,64,62,62,68
121,67,68,65,60,67
122,65,65,67,63,62
123,62,61,62,63,63
124,67,68,68,62,64
125,60,64,66,68,60
126,67,67,61,63,61
127,60,67,62,62,61
128,64,67,67,60,67
129,68,61,64,60,67
130,64,61,63,66,63
131,60,63,68,61,62
132,65,63,65,68,62
133,67,64,65,65,65
134,61,65,61,67,60
135,61,61,66,64,64
136,60,65,66,65,66
137,61,64,66,65,60
138,61,63,68,62,61
139,64,61,63,68,67
140,65,65,67,61,64
141,67,62,63,66,61
142,60,67,61,68,67
143,64,68,60,64,64
144,67,66,66,62,66
145,60,62,64,68,63
146,61,61,65,60,66
147,61,67,61,65,62
148,67,61,65,68,62
149,62,62,62,64,62
150,64,63,64,60,63
151,62,63,68,63,61
152,63,65,60,60,60
153,61,65,68,67,60
154,61,65,68,66,64
155,65,67,64,63,61
156,61,66,65,62,65
157,64,67,66,65,63
158,63,60,60,66,67
159,68,60,61,65,60
160,67,66,64,61,62
161,68,63,66,68,67
162,65,67,68,61,64
163,60,67,63,63,61
164,68,66,65,67,66
165,61,61,60,60,67
166,62,64,62,61,60
167,65,64,61,60,64
168,60,62,62,62,61
169,63,61,62,60,64
170,66,60,63,61,63
171,64,64,67,67,66
172,64,64,61,64,62
173,60,64,62,65,63
174,64,63,68,62,64
175,62,68,64,63,68
176,61,65,67,63,65
177,62,63,68,66,66
178,63,64,62,62,60
179,65,60,63,62,64
180,65,61,68,66,60
181,65,64,60,65,61
182,68,67,67,63,65
183,63,66,60,61,67
184,62,62,64,61,63
185,64,65,61,60,64
186,66,68,61,66,65
187,68,64,64,66,65
188,68,68,67,61,66
189,60,68,61,68,68
190,61,61,63,64,68
191,63,62,66,61,62
192,63,68,60,65,63
193,67,61,62,68,64
194,65,62,67,65,67
195,66,64,63,66,61
196,68,65,66,64,62
197,67,62,62,65,60
198,62,65,61,64,63
199,64,67,62,65,61
200,68,60,60,68,68
201,67,62,63,64,62
202,64,66,64,65,60
203,67,60,67,63,61
204,68,68,64,64,66
205,66,60,68,66,61
206,63,65,60,62,68
207,65,68,64,62,60
208,60,68,63,63,67
209,68,60,64,67,63
210,67,68,62,68,60
211,61,60,68,65,66
212,67,67,61,66,62
213,60,60,68,63,65
214,62,66,64,62,68
215,63,68,60,61,63
216,67,67,64,63,62
217,63,66,60,64,66
218,66,67,64,68,66
219,63,65,61,62,63
220,62,66,66,66,65
221,62,60,61,67,64
222,62,62,67,67,68
223,60,64,63,63,63
224,68,61,62,60,65
225,67,63,63,62,66
226,64,66,64,60,67
227,68,67,61,64,63
228,62,65,66,60,61
229,66,61,62,62,61
230,65,63,63,63,67
231,68,60,66,68,60
232,68,67,65,63,61
233,60,61,65,68,65
234,62,61,66,68,63
235,63,68,64,62,66
236,60,62,68,65,66
237,63,66,61,61,65
238,67,65,61,62,61
239,62,63,60,66,65
240,61,62,66,66,64
241,65,61,66,68,64
242,63,68,64,62,62
243,62,67,64,63,64
244,65,65,65,64,63
245,68,64,61,64,61
246,67,64,64,61,66
247,68,66,60,67,66
248,61,68,65,60,63
249,60,64,65,63,62
250,62,67,66,67,62
251,65,66,66,62,66
252,64,67,68,62,65
253,64,61,60,67,68
254,63,64,68,62,65
255,66,61,60,61,66
256,60,61,64,66,61
257,64,64,67,61,63
258,64,68,61,63,65
259,67,64,62,67,67
260,67,67,65,65,63
261,61,62,66,66,67
262,66,67,65,60,65
263,68,67,62,63,67
264,65,67,61,67,61
265,62,60,67,63,60
266,65,65,61,60,62
267,63,65,60,65,68
268,60,66,62,64,64
269,60,67,68,67,61
270,65,67,68,68,61
271,65,65,68,68,65
272,67,64,67,65,63
273,61,67,60,60,60
274,63,64,66,62,63
275,67,64,60,63,61
276,61,64,63,65,63
277,67,64,64,62,61
278,62,60,68,60,61
279,65,65,65,62,65
280,61,60,64,60,62
281,60,68,67,65,62
282,61,64,63,68,67
283,60,63,62,64,62
284,61,63,61,61,64
285,66,60,67,62,67
286,62,66,63,64,67
287,65,60,64,65,63
288,68,60,63,65,67
289,67,65,65,61,64
290,63,66,67,67,67
291,68,60,63,62,65
292,65,62,66,64,64
293,68,64,62,60,63
294,67,65,63,63,67
295,66,63,63,67,62
296,63,68,68,67,67
297,61,60,64,68,68
298,65,60,63,65,63
299,67,68,65,60,65
300,63,61,63,64,61
301,62,61,61,66,60
302,67,63,66,63,60
303,62,60,60,62,60
304,64,62,62,65,63
305,63,68,67,60,65
306,65,60,65,62,60
307,60,64,67,67,68
308,60,64,66,62,61
309,62,64,68,65,67
310,61,65,67,62,63
311,65,68,62,65,66
312,60,63,68,64,65
313,66,61,60,63,60
314,61,68,63,67,64
315,66,62,62,62,60
316,61,67,62,62,61
317,60,60,68,66,63
318,60,63,67,68,67
319,68,64,64,67,61
320,65,60,68,67,61
321,62,64,60,65,62
322,67,63,68,63,61
323,66,63,64,60,63
324,65,61,66,62,67
325,64,64,63,68,60
326,62,67,63,66,64
327,62,63,67,65,61
